long,lat
"-36,3170","-8,3144"
"-37,6585","-9,4063"
"-37,3651","-7,9567"
"-36,7034","-8,1892"
"-36,9286","-8,2298"
"-37,1833","-8,3859"
"-37,3656","-10,7387"
"-37,3386","-9,2422"
"-35,7236","-6,0925"
"-35,7808","-6,4369"
"-36,4307","-9,2378"
"-36,7186","-9,4050"
"-38,5669","-9,4356"
"-36,4581","-9,2950"
"-36,2978","-9,2411"
"-36,1922","-8,2360"
"-36,0678","-8,3539"
"-35,9925","-8,3953"
"-36,0678","-8,0706"
"-36,4147","-9,5603"
"-36,2131","-9,6439"
"-36,6772","-8,0927"
"-36,6264","-8,4706"
"-35,8439","-8,3819"
"-35,8567","-7,0233"
"-35,5022","-9,2014"
"-36,4036","-8,2003"
"-36,7756","-8,4664"
"-36,3708","-8,1500"
"-35,9911","-6,8800"
"-37,7000","-9,0333"
"-36,2200","-8,0900"
"-36,0300","-8,2100"
"-37,3656060","-10,7386830"
"-35,7808330","-64,3694400"
"-35,9911110","-6,8800000"
"-35,8566670","-7,0233330"
"-35,9606020","-7,1611100"
"-35,5872000","-7,7958300"
"-37,3549521","-7,9524559"
"-37,3651111","-7,9566667"
"-36,8478010","-8,0791700"
"-36,6771670","-8,0926940"
"-36,3711010","-8,1458300"
"-36,3711010","-8,1458300"
"-36,3711010","-8,1458300"
"-36,7033556","-8,1892028"
"-36,4035830","-8,2003610"
"-36,9285998","-8,2297515"
"-35,7969020","-8,2333300"
"-36,1921670","-8,2360000"
"-36,1922220","-8,2363890"
"-36,1427990","-8,3258300"
"-36,0677780","-8,3538890"
"-36,6964000","-8,3577800"
"-36,6964000","-8,3577800"
"-35,7619020","-8,3586100"
"-35,7619020","-8,3586100"
"-37,1765520","-8,3746050"
"-37,1831409","-8,3798986"
"-37,1830560","-8,3800000"
"-35,8438890","-8,3819440"
"-37,1766320","-8,3848850"
"-37,1830556","-8,3858333"
"-37,1832763","-8,3859205"
"-35,9925000","-8,3952780"
"-35,9446980","-8,4580600"
"-36,7755560","-8,4663890"
"-36,8741990","-8,5747200"
"-36,8741990","-8,5747200"
"-37,7000000","-9,0333330"
"-37,7112222","-9,0472778"
"-35,5332980","-9,1516700"
"-36,4306650","-9,2378450"
"-37,3386110","-9,2422222"
"-36,4266670","-9,2547220"
"-37,9361000","-9,2608300"
"-37,6584580","-9,4062830"
"-37,7566990","-9,6236100"
"-35,9946","-8,3827"
"-35,9182","-8,4688"
"-36,3921","-8,1601"
"-36,7037","-8,3282"
"-36,4053","-8,1969"
"-36,4036","-8,2003"
"-36,0622","-8,3642"
"-36,8792","-8,5750"
"-36,3921","-8,1601"
"-37,4166","-10,6667"
"-36,3708","-8,1500"
"-35,8994","-7,0105"
"-35,8806","-7,0169"
"-35,8439","-8,3819"
"-36,6019","-9,2500"
"-37,4167","-10,6667"
"35,8806","-7,0169"
"-37,85","-9,30"
"37,8833","-9,3500"
